Gray codes for n = 10 bit
i	 	p		B
109	-	1	-	0 0 0 1 0 1 1 0 1 1 
110	-	2	-	0 0 0 1 0 1 1 0 0 1 
111	-	1	-	0 0 0 1 0 1 1 0 0 0 
112	-	5	-	0 0 0 1 0 0 1 0 0 0 
113	-	1	-	0 0 0 1 0 0 1 0 0 1 
114	-	2	-	0 0 0 1 0 0 1 0 1 1 
115	-	1	-	0 0 0 1 0 0 1 0 1 0 
116	-	3	-	0 0 0 1 0 0 1 1 1 0 
117	-	1	-	0 0 0 1 0 0 1 1 1 1 
118	-	2	-	0 0 0 1 0 0 1 1 0 1 
119	-	1	-	0 0 0 1 0 0 1 1 0 0 
120	-	4	-	0 0 0 1 0 0 0 1 0 0 
121	-	1	-	0 0 0 1 0 0 0 1 0 1 
122	-	2	-	0 0 0 1 0 0 0 1 1 1 
123	-	1	-	0 0 0 1 0 0 0 1 1 0 
124	-	3	-	0 0 0 1 0 0 0 0 1 0 
125	-	1	-	0 0 0 1 0 0 0 0 1 1 
126	-	2	-	0 0 0 1 0 0 0 0 0 1 
127	-	1	-	0 0 0 1 0 0 0 0 0 0 
128	-	8	-	0 0 1 1 0 0 0 0 0 0 
129	-	1	-	0 0 1 1 0 0 0 0 0 1 
130	-	2	-	0 0 1 1 0 0 0 0 1 1 
131	-	1	-	0 0 1 1 0 0 0 0 1 0 
132	-	3	-	0 0 1 1 0 0 0 1 1 0 
133	-	1	-	0 0 1 1 0 0 0 1 1 1 
134	-	2	-	0 0 1 1 0 0 0 1 0 1 
135	-	1	-	0 0 1 1 0 0 0 1 0 0 
136	-	4	-	0 0 1 1 0 0 1 1 0 0 
137	-	1	-	0 0 1 1 0 0 1 1 0 1 
138	-	2	-	0 0 1 1 0 0 1 1 1 1 
139	-	1	-	0 0 1 1 0 0 1 1 1 0 
140	-	3	-	0 0 1 1 0 0 1 0 1 0 
141	-	1	-	0 0 1 1 0 0 1 0 1 1 
142	-	2	-	0 0 1 1 0 0 1 0 0 1 
143	-	1	-	0 0 1 1 0 0 1 0 0 0 
144	-	5	-	0 0 1 1 0 1 1 0 0 0 
145	-	1	-	0 0 1 1 0 1 1 0 0 1 
146	-	2	-	0 0 1 1 0 1 1 0 1 1 
147	-	1	-	0 0 1 1 0 1 1 0 1 0 
148	-	3	-	0 0 1 1 0 1 1 1 1 0 
149	-	1	-	0 0 1 1 0 1 1 1 1 1 
150	-	2	-	0 0 1 1 0 1 1 1 0 1 
151	-	1	-	0 0 1 1 0 1 1 1 0 0 
152	-	4	-	0 0 1 1 0 1 0 1 0 0 
153	-	1	-	0 0 1 1 0 1 0 1 0 1 
154	-	2	-	0 0 1 1 0 1 0 1 1 1 
155	-	1	-	0 0 1 1 0 1 0 1 1 0 
156	-	3	-	0 0 1 1 0 1 0 0 1 0 
157	-	1	-	0 0 1 1 0 1 0 0 1 1 
158	-	2	-	0 0 1 1 0 1 0 0 0 1 
159	-	1	-	0 0 1 1 0 1 0 0 0 0 
160	-	6	-	0 0 1 1 1 1 0 0 0 0 
161	-	1	-	0 0 1 1 1 1 0 0 0 1 
162	-	2	-	0 0 1 1 1 1 0 0 1 1 
163	-	1	-	0 0 1 1 1 1 0 0 1 0 
164	-	3	-	0 0 1 1 1 1 0 1 1 0 
165	-	1	-	0 0 1 1 1 1 0 1 1 1 
166	-	2	-	0 0 1 1 1 1 0 1 0 1 
167	-	1	-	0 0 1 1 1 1 0 1 0 0 
168	-	4	-	0 0 1 1 1 1 1 1 0 0 
169	-	1	-	0 0 1 1 1 1 1 1 0 1 
170	-	2	-	0 0 1 1 1 1 1 1 1 1 
171	-	1	-	0 0 1 1 1 1 1 1 1 0 
172	-	3	-	0 0 1 1 1 1 1 0 1 0 
173	-	1	-	0 0 1 1 1 1 1 0 1 1 
174	-	2	-	0 0 1 1 1 1 1 0 0 1 
175	-	1	-	0 0 1 1 1 1 1 0 0 0 
176	-	5	-	0 0 1 1 1 0 1 0 0 0 
177	-	1	-	0 0 1 1 1 0 1 0 0 1 
178	-	2	-	0 0 1 1 1 0 1 0 1 1 
179	-	1	-	0 0 1 1 1 0 1 0 1 0 
180	-	3	-	0 0 1 1 1 0 1 1 1 0 
181	-	1	-	0 0 1 1 1 0 1 1 1 1 
182	-	2	-	0 0 1 1 1 0 1 1 0 1 
183	-	1	-	0 0 1 1 1 0 1 1 0 0 
184	-	4	-	0 0 1 1 1 0 0 1 0 0 
185	-	1	-	0 0 1 1 1 0 0 1 0 1 
186	-	2	-	0 0 1 1 1 0 0 1 1 1 
187	-	1	-	0 0 1 1 1 0 0 1 1 0 
188	-	3	-	0 0 1 1 1 0 0 0 1 0 
189	-	1	-	0 0 1 1 1 0 0 0 1 1 
190	-	2	-	0 0 1 1 1 0 0 0 0 1 
191	-	1	-	0 0 1 1 1 0 0 0 0 0 
192	-	7	-	0 0 1 0 1 0 0 0 0 0 
193	-	1	-	0 0 1 0 1 0 0 0 0 1 
194	-	2	-	0 0 1 0 1 0 0 0 1 1 
195	-	1	-	0 0 1 0 1 0 0 0 1 0 
196	-	3	-	0 0 1 0 1 0 0 1 1 0 
197	-	1	-	0 0 1 0 1 0 0 1 1 1 
198	-	2	-	0 0 1 0 1 0 0 1 0 1 
199	-	1	-	0 0 1 0 1 0 0 1 0 0 
200	-	4	-	0 0 1 0 1 0 1 1 0 0 
201	-	1	-	0 0 1 0 1 0 1 1 0 1 
202	-	2	-	0 0 1 0 1 0 1 1 1 1 
203	-	1	-	0 0 1 0 1 0 1 1 1 0 
204	-	3	-	0 0 1 0 1 0 1 0 1 0 
205	-	1	-	0 0 1 0 1 0 1 0 1 1 
206	-	2	-	0 0 1 0 1 0 1 0 0 1 
207	-	1	-	0 0 1 0 1 0 1 0 0 0 
208	-	5	-	0 0 1 0 1 1 1 0 0 0 
209	-	1	-	0 0 1 0 1 1 1 0 0 1 
210	-	2	-	0 0 1 0 1 1 1 0 1 1 
211	-	1	-	0 0 1 0 1 1 1 0 1 0 
212	-	3	-	0 0 1 0 1 1 1 1 1 0 
213	-	1	-	0 0 1 0 1 1 1 1 1 1 
214	-	2	-	0 0 1 0 1 1 1 1 0 1 
215	-	1	-	0 0 1 0 1 1 1 1 0 0 
216	-	4	-	0 0 1 0 1 1 0 1 0 0 
217	-	1	-	0 0 1 0 1 1 0 1 0 1 
218	-	2	-	0 0 1 0 1 1 0 1 1 1 
219	-	1	-	0 0 1 0 1 1 0 1 1 0 
220	-	3	-	0 0 1 0 1 1 0 0 1 0 
221	-	1	-	0 0 1 0 1 1 0 0 1 1 
222	-	2	-	0 0 1 0 1 1 0 0 0 1 
223	-	1	-	0 0 1 0 1 1 0 0 0 0 
224	-	6	-	0 0 1 0 0 1 0 0 0 0 
225	-	1	-	0 0 1 0 0 1 0 0 0 1 
226	-	2	-	0 0 1 0 0 1 0 0 1 1 
227	-	1	-	0 0 1 0 0 1 0 0 1 0 
228	-	3	-	0 0 1 0 0 1 0 1 1 0 
229	-	1	-	0 0 1 0 0 1 0 1 1 1 
230	-	2	-	0 0 1 0 0 1 0 1 0 1 
231	-	1	-	0 0 1 0 0 1 0 1 0 0 
232	-	4	-	0 0 1 0 0 1 1 1 0 0 
233	-	1	-	0 0 1 0 0 1 1 1 0 1 
234	-	2	-	0 0 1 0 0 1 1 1 1 1 
235	-	1	-	0 0 1 0 0 1 1 1 1 0 
236	-	3	-	0 0 1 0 0 1 1 0 1 0 
237	-	1	-	0 0 1 0 0 1 1 0 1 1 
238	-	2	-	0 0 1 0 0 1 1 0 0 1 
239	-	1	-	0 0 1 0 0 1 1 0 0 0 
240	-	5	-	0 0 1 0 0 0 1 0 0 0 
241	-	1	-	0 0 1 0 0 0 1 0 0 1 
242	-	2	-	0 0 1 0 0 0 1 0 1 1 
243	-	1	-	0 0 1 0 0 0 1 0 1 0 
244	-	3	-	0 0 1 0 0 0 1 1 1 0 
245	-	1	-	0 0 1 0 0 0 1 1 1 1 
246	-	2	-	0 0 1 0 0 0 1 1 0 1 
247	-	1	-	0 0 1 0 0 0 1 1 0 0 
248	-	4	-	0 0 1 0 0 0 0 1 0 0 
249	-	1	-	0 0 1 0 0 0 0 1 0 1 
250	-	2	-	0 0 1 0 0 0 0 1 1 1 
251	-	1	-	0 0 1 0 0 0 0 1 1 0 
252	-	3	-	0 0 1 0 0 0 0 0 1 0 
253	-	1	-	0 0 1 0 0 0 0 0 1 1 
254	-	2	-	0 0 1 0 0 0 0 0 0 1 
