Gray codes for n = 10 bit
i	 	p		B
478	-	2	-	0 1 0 0 1 1 0 0 0 1 
479	-	1	-	0 1 0 0 1 1 0 0 0 0 
480	-	6	-	0 1 0 0 0 1 0 0 0 0 
481	-	1	-	0 1 0 0 0 1 0 0 0 1 
482	-	2	-	0 1 0 0 0 1 0 0 1 1 
483	-	1	-	0 1 0 0 0 1 0 0 1 0 
484	-	3	-	0 1 0 0 0 1 0 1 1 0 
485	-	1	-	0 1 0 0 0 1 0 1 1 1 
486	-	2	-	0 1 0 0 0 1 0 1 0 1 
487	-	1	-	0 1 0 0 0 1 0 1 0 0 
488	-	4	-	0 1 0 0 0 1 1 1 0 0 
489	-	1	-	0 1 0 0 0 1 1 1 0 1 
490	-	2	-	0 1 0 0 0 1 1 1 1 1 
491	-	1	-	0 1 0 0 0 1 1 1 1 0 
492	-	3	-	0 1 0 0 0 1 1 0 1 0 
493	-	1	-	0 1 0 0 0 1 1 0 1 1 
494	-	2	-	0 1 0 0 0 1 1 0 0 1 
495	-	1	-	0 1 0 0 0 1 1 0 0 0 
496	-	5	-	0 1 0 0 0 0 1 0 0 0 
497	-	1	-	0 1 0 0 0 0 1 0 0 1 
498	-	2	-	0 1 0 0 0 0 1 0 1 1 
499	-	1	-	0 1 0 0 0 0 1 0 1 0 
500	-	3	-	0 1 0 0 0 0 1 1 1 0 
501	-	1	-	0 1 0 0 0 0 1 1 1 1 
502	-	2	-	0 1 0 0 0 0 1 1 0 1 
503	-	1	-	0 1 0 0 0 0 1 1 0 0 
504	-	4	-	0 1 0 0 0 0 0 1 0 0 
505	-	1	-	0 1 0 0 0 0 0 1 0 1 
506	-	2	-	0 1 0 0 0 0 0 1 1 1 
507	-	1	-	0 1 0 0 0 0 0 1 1 0 
508	-	3	-	0 1 0 0 0 0 0 0 1 0 
509	-	1	-	0 1 0 0 0 0 0 0 1 1 
510	-	2	-	0 1 0 0 0 0 0 0 0 1 
511	-	1	-	0 1 0 0 0 0 0 0 0 0 
512	-	10	-	1 1 0 0 0 0 0 0 0 0 
513	-	1	-	1 1 0 0 0 0 0 0 0 1 
514	-	2	-	1 1 0 0 0 0 0 0 1 1 
515	-	1	-	1 1 0 0 0 0 0 0 1 0 
516	-	3	-	1 1 0 0 0 0 0 1 1 0 
517	-	1	-	1 1 0 0 0 0 0 1 1 1 
518	-	2	-	1 1 0 0 0 0 0 1 0 1 
519	-	1	-	1 1 0 0 0 0 0 1 0 0 
520	-	4	-	1 1 0 0 0 0 1 1 0 0 
521	-	1	-	1 1 0 0 0 0 1 1 0 1 
522	-	2	-	1 1 0 0 0 0 1 1 1 1 
523	-	1	-	1 1 0 0 0 0 1 1 1 0 
524	-	3	-	1 1 0 0 0 0 1 0 1 0 
525	-	1	-	1 1 0 0 0 0 1 0 1 1 
526	-	2	-	1 1 0 0 0 0 1 0 0 1 
527	-	1	-	1 1 0 0 0 0 1 0 0 0 
528	-	5	-	1 1 0 0 0 1 1 0 0 0 
529	-	1	-	1 1 0 0 0 1 1 0 0 1 
530	-	2	-	1 1 0 0 0 1 1 0 1 1 
531	-	1	-	1 1 0 0 0 1 1 0 1 0 
532	-	3	-	1 1 0 0 0 1 1 1 1 0 
533	-	1	-	1 1 0 0 0 1 1 1 1 1 
534	-	2	-	1 1 0 0 0 1 1 1 0 1 
535	-	1	-	1 1 0 0 0 1 1 1 0 0 
536	-	4	-	1 1 0 0 0 1 0 1 0 0 
537	-	1	-	1 1 0 0 0 1 0 1 0 1 
538	-	2	-	1 1 0 0 0 1 0 1 1 1 
539	-	1	-	1 1 0 0 0 1 0 1 1 0 
540	-	3	-	1 1 0 0 0 1 0 0 1 0 
541	-	1	-	1 1 0 0 0 1 0 0 1 1 
542	-	2	-	1 1 0 0 0 1 0 0 0 1 
543	-	1	-	1 1 0 0 0 1 0 0 0 0 
544	-	6	-	1 1 0 0 1 1 0 0 0 0 
545	-	1	-	1 1 0 0 1 1 0 0 0 1 
546	-	2	-	1 1 0 0 1 1 0 0 1 1 
547	-	1	-	1 1 0 0 1 1 0 0 1 0 
548	-	3	-	1 1 0 0 1 1 0 1 1 0 
549	-	1	-	1 1 0 0 1 1 0 1 1 1 
550	-	2	-	1 1 0 0 1 1 0 1 0 1 
551	-	1	-	1 1 0 0 1 1 0 1 0 0 
552	-	4	-	1 1 0 0 1 1 1 1 0 0 
553	-	1	-	1 1 0 0 1 1 1 1 0 1 
554	-	2	-	1 1 0 0 1 1 1 1 1 1 
555	-	1	-	1 1 0 0 1 1 1 1 1 0 
556	-	3	-	1 1 0 0 1 1 1 0 1 0 
557	-	1	-	1 1 0 0 1 1 1 0 1 1 
558	-	2	-	1 1 0 0 1 1 1 0 0 1 
559	-	1	-	1 1 0 0 1 1 1 0 0 0 
560	-	5	-	1 1 0 0 1 0 1 0 0 0 
561	-	1	-	1 1 0 0 1 0 1 0 0 1 
562	-	2	-	1 1 0 0 1 0 1 0 1 1 
563	-	1	-	1 1 0 0 1 0 1 0 1 0 
564	-	3	-	1 1 0 0 1 0 1 1 1 0 
565	-	1	-	1 1 0 0 1 0 1 1 1 1 
566	-	2	-	1 1 0 0 1 0 1 1 0 1 
567	-	1	-	1 1 0 0 1 0 1 1 0 0 
568	-	4	-	1 1 0 0 1 0 0 1 0 0 
569	-	1	-	1 1 0 0 1 0 0 1 0 1 
570	-	2	-	1 1 0 0 1 0 0 1 1 1 
571	-	1	-	1 1 0 0 1 0 0 1 1 0 
572	-	3	-	1 1 0 0 1 0 0 0 1 0 
573	-	1	-	1 1 0 0 1 0 0 0 1 1 
574	-	2	-	1 1 0 0 1 0 0 0 0 1 
575	-	1	-	1 1 0 0 1 0 0 0 0 0 
576	-	7	-	1 1 0 1 1 0 0 0 0 0 
577	-	1	-	1 1 0 1 1 0 0 0 0 1 
578	-	2	-	1 1 0 1 1 0 0 0 1 1 
579	-	1	-	1 1 0 1 1 0 0 0 1 0 
580	-	3	-	1 1 0 1 1 0 0 1 1 0 
581	-	1	-	1 1 0 1 1 0 0 1 1 1 
582	-	2	-	1 1 0 1 1 0 0 1 0 1 
583	-	1	-	1 1 0 1 1 0 0 1 0 0 
584	-	4	-	1 1 0 1 1 0 1 1 0 0 
585	-	1	-	1 1 0 1 1 0 1 1 0 1 
586	-	2	-	1 1 0 1 1 0 1 1 1 1 
587	-	1	-	1 1 0 1 1 0 1 1 1 0 
588	-	3	-	1 1 0 1 1 0 1 0 1 0 
589	-	1	-	1 1 0 1 1 0 1 0 1 1 
590	-	2	-	1 1 0 1 1 0 1 0 0 1 
591	-	1	-	1 1 0 1 1 0 1 0 0 0 
592	-	5	-	1 1 0 1 1 1 1 0 0 0 
593	-	1	-	1 1 0 1 1 1 1 0 0 1 
594	-	2	-	1 1 0 1 1 1 1 0 1 1 
595	-	1	-	1 1 0 1 1 1 1 0 1 0 
596	-	3	-	1 1 0 1 1 1 1 1 1 0 
597	-	1	-	1 1 0 1 1 1 1 1 1 1 
598	-	2	-	1 1 0 1 1 1 1 1 0 1 
599	-	1	-	1 1 0 1 1 1 1 1 0 0 
600	-	4	-	1 1 0 1 1 1 0 1 0 0 
601	-	1	-	1 1 0 1 1 1 0 1 0 1 
602	-	2	-	1 1 0 1 1 1 0 1 1 1 
603	-	1	-	1 1 0 1 1 1 0 1 1 0 
604	-	3	-	1 1 0 1 1 1 0 0 1 0 
605	-	1	-	1 1 0 1 1 1 0 0 1 1 
606	-	2	-	1 1 0 1 1 1 0 0 0 1 
607	-	1	-	1 1 0 1 1 1 0 0 0 0 
608	-	6	-	1 1 0 1 0 1 0 0 0 0 
609	-	1	-	1 1 0 1 0 1 0 0 0 1 
610	-	2	-	1 1 0 1 0 1 0 0 1 1 
611	-	1	-	1 1 0 1 0 1 0 0 1 0 
612	-	3	-	1 1 0 1 0 1 0 1 1 0 
613	-	1	-	1 1 0 1 0 1 0 1 1 1 
614	-	2	-	1 1 0 1 0 1 0 1 0 1 
615	-	1	-	1 1 0 1 0 1 0 1 0 0 
616	-	4	-	1 1 0 1 0 1 1 1 0 0 
617	-	1	-	1 1 0 1 0 1 1 1 0 1 
618	-	2	-	1 1 0 1 0 1 1 1 1 1 
619	-	1	-	1 1 0 1 0 1 1 1 1 0 
620	-	3	-	1 1 0 1 0 1 1 0 1 0 
621	-	1	-	1 1 0 1 0 1 1 0 1 1 
622	-	2	-	1 1 0 1 0 1 1 0 0 1 
623	-	1	-	1 1 0 1 0 1 1 0 0 0 
624	-	5	-	1 1 0 1 0 0 1 0 0 0 
625	-	1	-	1 1 0 1 0 0 1 0 0 1 
626	-	2	-	1 1 0 1 0 0 1 0 1 1 
627	-	1	-	1 1 0 1 0 0 1 0 1 0 
628	-	3	-	1 1 0 1 0 0 1 1 1 0 
629	-	1	-	1 1 0 1 0 0 1 1 1 1 
630	-	2	-	1 1 0 1 0 0 1 1 0 1 
631	-	1	-	1 1 0 1 0 0 1 1 0 0 
632	-	4	-	1 1 0 1 0 0 0 1 0 0 
633	-	1	-	1 1 0 1 0 0 0 1 0 1 
634	-	2	-	1 1 0 1 0 0 0 1 1 1 
635	-	1	-	1 1 0 1 0 0 0 1 1 0 
636	-	3	-	1 1 0 1 0 0 0 0 1 0 
637	-	1	-	1 1 0 1 0 0 0 0 1 1 
638	-	2	-	1 1 0 1 0 0 0 0 0 1 
639	-	1	-	1 1 0 1 0 0 0 0 0 0 
640	-	8	-	1 1 1 1 0 0 0 0 0 0 
641	-	1	-	1 1 1 1 0 0 0 0 0 1 
642	-	2	-	1 1 1 1 0 0 0 0 1 1 
643	-	1	-	1 1 1 1 0 0 0 0 1 0 
644	-	3	-	1 1 1 1 0 0 0 1 1 0 
645	-	1	-	1 1 1 1 0 0 0 1 1 1 
646	-	2	-	1 1 1 1 0 0 0 1 0 1 
647	-	1	-	1 1 1 1 0 0 0 1 0 0 
648	-	4	-	1 1 1 1 0 0 1 1 0 0 
649	-	1	-	1 1 1 1 0 0 1 1 0 1 
650	-	2	-	1 1 1 1 0 0 1 1 1 1 
651	-	1	-	1 1 1 1 0 0 1 1 1 0 
652	-	3	-	1 1 1 1 0 0 1 0 1 0 
653	-	1	-	1 1 1 1 0 0 1 0 1 1 
654	-	2	-	1 1 1 1 0 0 1 0 0 1 
655	-	1	-	1 1 1 1 0 0 1 0 0 0 
656	-	5	-	1 1 1 1 0 1 1 0 0 0 
657	-	1	-	1 1 1 1 0 1 1 0 0 1 
658	-	2	-	1 1 1 1 0 1 1 0 1 1 
659	-	1	-	1 1 1 1 0 1 1 0 1 0 
660	-	3	-	1 1 1 1 0 1 1 1 1 0 
661	-	1	-	1 1 1 1 0 1 1 1 1 1 
662	-	2	-	1 1 1 1 0 1 1 1 0 1 
663	-	1	-	1 1 1 1 0 1 1 1 0 0 
664	-	4	-	1 1 1 1 0 1 0 1 0 0 
665	-	1	-	1 1 1 1 0 1 0 1 0 1 
666	-	2	-	1 1 1 1 0 1 0 1 1 1 
667	-	1	-	1 1 1 1 0 1 0 1 1 0 
668	-	3	-	1 1 1 1 0 1 0 0 1 0 
669	-	1	-	1 1 1 1 0 1 0 0 1 1 
670	-	2	-	1 1 1 1 0 1 0 0 0 1 
671	-	1	-	1 1 1 1 0 1 0 0 0 0 
672	-	6	-	1 1 1 1 1 1 0 0 0 0 
673	-	1	-	1 1 1 1 1 1 0 0 0 1 
674	-	2	-	1 1 1 1 1 1 0 0 1 1 
675	-	1	-	1 1 1 1 1 1 0 0 1 0 
676	-	3	-	1 1 1 1 1 1 0 1 1 0 
677	-	1	-	1 1 1 1 1 1 0 1 1 1 
678	-	2	-	1 1 1 1 1 1 0 1 0 1 
679	-	1	-	1 1 1 1 1 1 0 1 0 0 
680	-	4	-	1 1 1 1 1 1 1 1 0 0 
681	-	1	-	1 1 1 1 1 1 1 1 0 1 
682	-	2	-	1 1 1 1 1 1 1 1 1 1 
683	-	1	-	1 1 1 1 1 1 1 1 1 0 
684	-	3	-	1 1 1 1 1 1 1 0 1 0 
685	-	1	-	1 1 1 1 1 1 1 0 1 1 
686	-	2	-	1 1 1 1 1 1 1 0 0 1 
687	-	1	-	1 1 1 1 1 1 1 0 0 0 
688	-	5	-	1 1 1 1 1 0 1 0 0 0 
689	-	1	-	1 1 1 1 1 0 1 0 0 1 
690	-	2	-	1 1 1 1 1 0 1 0 1 1 
691	-	1	-	1 1 1 1 1 0 1 0 1 0 
692	-	3	-	1 1 1 1 1 0 1 1 1 0 
693	-	1	-	1 1 1 1 1 0 1 1 1 1 
694	-	2	-	1 1 1 1 1 0 1 1 0 1 
695	-	1	-	1 1 1 1 1 0 1 1 0 0 
696	-	4	-	1 1 1 1 1 0 0 1 0 0 
697	-	1	-	1 1 1 1 1 0 0 1 0 1 
698	-	2	-	1 1 1 1 1 0 0 1 1 1 
699	-	1	-	1 1 1 1 1 0 0 1 1 0 
700	-	3	-	1 1 1 1 1 0 0 0 1 0 
701	-	1	-	1 1 1 1 1 0 0 0 1 1 
702	-	2	-	1 1 1 1 1 0 0 0 0 1 
703	-	1	-	1 1 1 1 1 0 0 0 0 0 
704	-	7	-	1 1 1 0 1 0 0 0 0 0 
705	-	1	-	1 1 1 0 1 0 0 0 0 1 
706	-	2	-	1 1 1 0 1 0 0 0 1 1 
707	-	1	-	1 1 1 0 1 0 0 0 1 0 
708	-	3	-	1 1 1 0 1 0 0 1 1 0 
709	-	1	-	1 1 1 0 1 0 0 1 1 1 
710	-	2	-	1 1 1 0 1 0 0 1 0 1 
711	-	1	-	1 1 1 0 1 0 0 1 0 0 
712	-	4	-	1 1 1 0 1 0 1 1 0 0 
713	-	1	-	1 1 1 0 1 0 1 1 0 1 
714	-	2	-	1 1 1 0 1 0 1 1 1 1 
715	-	1	-	1 1 1 0 1 0 1 1 1 0 
716	-	3	-	1 1 1 0 1 0 1 0 1 0 
717	-	1	-	1 1 1 0 1 0 1 0 1 1 
718	-	2	-	1 1 1 0 1 0 1 0 0 1 
719	-	1	-	1 1 1 0 1 0 1 0 0 0 
720	-	5	-	1 1 1 0 1 1 1 0 0 0 
721	-	1	-	1 1 1 0 1 1 1 0 0 1 
722	-	2	-	1 1 1 0 1 1 1 0 1 1 
723	-	1	-	1 1 1 0 1 1 1 0 1 0 
724	-	3	-	1 1 1 0 1 1 1 1 1 0 
725	-	1	-	1 1 1 0 1 1 1 1 1 1 
726	-	2	-	1 1 1 0 1 1 1 1 0 1 
727	-	1	-	1 1 1 0 1 1 1 1 0 0 
728	-	4	-	1 1 1 0 1 1 0 1 0 0 
729	-	1	-	1 1 1 0 1 1 0 1 0 1 
730	-	2	-	1 1 1 0 1 1 0 1 1 1 
731	-	1	-	1 1 1 0 1 1 0 1 1 0 
732	-	3	-	1 1 1 0 1 1 0 0 1 0 
733	-	1	-	1 1 1 0 1 1 0 0 1 1 
734	-	2	-	1 1 1 0 1 1 0 0 0 1 
735	-	1	-	1 1 1 0 1 1 0 0 0 0 
736	-	6	-	1 1 1 0 0 1 0 0 0 0 
737	-	1	-	1 1 1 0 0 1 0 0 0 1 
738	-	2	-	1 1 1 0 0 1 0 0 1 1 
739	-	1	-	1 1 1 0 0 1 0 0 1 0 
740	-	3	-	1 1 1 0 0 1 0 1 1 0 
741	-	1	-	1 1 1 0 0 1 0 1 1 1 
742	-	2	-	1 1 1 0 0 1 0 1 0 1 
743	-	1	-	1 1 1 0 0 1 0 1 0 0 
744	-	4	-	1 1 1 0 0 1 1 1 0 0 
745	-	1	-	1 1 1 0 0 1 1 1 0 1 
746	-	2	-	1 1 1 0 0 1 1 1 1 1 
747	-	1	-	1 1 1 0 0 1 1 1 1 0 
748	-	3	-	1 1 1 0 0 1 1 0 1 0 
749	-	1	-	1 1 1 0 0 1 1 0 1 1 
750	-	2	-	1 1 1 0 0 1 1 0 0 1 
751	-	1	-	1 1 1 0 0 1 1 0 0 0 
752	-	5	-	1 1 1 0 0 0 1 0 0 0 
753	-	1	-	1 1 1 0 0 0 1 0 0 1 
754	-	2	-	1 1 1 0 0 0 1 0 1 1 
755	-	1	-	1 1 1 0 0 0 1 0 1 0 
756	-	3	-	1 1 1 0 0 0 1 1 1 0 
757	-	1	-	1 1 1 0 0 0 1 1 1 1 
758	-	2	-	1 1 1 0 0 0 1 1 0 1 
759	-	1	-	1 1 1 0 0 0 1 1 0 0 
760	-	4	-	1 1 1 0 0 0 0 1 0 0 
761	-	1	-	1 1 1 0 0 0 0 1 0 1 
762	-	2	-	1 1 1 0 0 0 0 1 1 1 
763	-	1	-	1 1 1 0 0 0 0 1 1 0 
764	-	3	-	1 1 1 0 0 0 0 0 1 0 
765	-	1	-	1 1 1 0 0 0 0 0 1 1 
766	-	2	-	1 1 1 0 0 0 0 0 0 1 
767	-	1	-	1 1 1 0 0 0 0 0 0 0 
768	-	9	-	1 0 1 0 0 0 0 0 0 0 
769	-	1	-	1 0 1 0 0 0 0 0 0 1 
770	-	2	-	1 0 1 0 0 0 0 0 1 1 
771	-	1	-	1 0 1 0 0 0 0 0 1 0 
772	-	3	-	1 0 1 0 0 0 0 1 1 0 
773	-	1	-	1 0 1 0 0 0 0 1 1 1 
774	-	2	-	1 0 1 0 0 0 0 1 0 1 
775	-	1	-	1 0 1 0 0 0 0 1 0 0 
776	-	4	-	1 0 1 0 0 0 1 1 0 0 
777	-	1	-	1 0 1 0 0 0 1 1 0 1 
778	-	2	-	1 0 1 0 0 0 1 1 1 1 
779	-	1	-	1 0 1 0 0 0 1 1 1 0 
780	-	3	-	1 0 1 0 0 0 1 0 1 0 
781	-	1	-	1 0 1 0 0 0 1 0 1 1 
782	-	2	-	1 0 1 0 0 0 1 0 0 1 
783	-	1	-	1 0 1 0 0 0 1 0 0 0 
784	-	5	-	1 0 1 0 0 1 1 0 0 0 
785	-	1	-	1 0 1 0 0 1 1 0 0 1 
786	-	2	-	1 0 1 0 0 1 1 0 1 1 
787	-	1	-	1 0 1 0 0 1 1 0 1 0 
788	-	3	-	1 0 1 0 0 1 1 1 1 0 
789	-	1	-	1 0 1 0 0 1 1 1 1 1 
790	-	2	-	1 0 1 0 0 1 1 1 0 1 
791	-	1	-	1 0 1 0 0 1 1 1 0 0 
792	-	4	-	1 0 1 0 0 1 0 1 0 0 
793	-	1	-	1 0 1 0 0 1 0 1 0 1 
794	-	2	-	1 0 1 0 0 1 0 1 1 1 
795	-	1	-	1 0 1 0 0 1 0 1 1 0 
796	-	3	-	1 0 1 0 0 1 0 0 1 0 
797	-	1	-	1 0 1 0 0 1 0 0 1 1 
798	-	2	-	1 0 1 0 0 1 0 0 0 1 
799	-	1	-	1 0 1 0 0 1 0 0 0 0 
800	-	6	-	1 0 1 0 1 1 0 0 0 0 
801	-	1	-	1 0 1 0 1 1 0 0 0 1 
802	-	2	-	1 0 1 0 1 1 0 0 1 1 
803	-	1	-	1 0 1 0 1 1 0 0 1 0 
804	-	3	-	1 0 1 0 1 1 0 1 1 0 
805	-	1	-	1 0 1 0 1 1 0 1 1 1 
806	-	2	-	1 0 1 0 1 1 0 1 0 1 
807	-	1	-	1 0 1 0 1 1 0 1 0 0 
808	-	4	-	1 0 1 0 1 1 1 1 0 0 
809	-	1	-	1 0 1 0 1 1 1 1 0 1 
810	-	2	-	1 0 1 0 1 1 1 1 1 1 
811	-	1	-	1 0 1 0 1 1 1 1 1 0 
812	-	3	-	1 0 1 0 1 1 1 0 1 0 
813	-	1	-	1 0 1 0 1 1 1 0 1 1 
814	-	2	-	1 0 1 0 1 1 1 0 0 1 
815	-	1	-	1 0 1 0 1 1 1 0 0 0 
816	-	5	-	1 0 1 0 1 0 1 0 0 0 
817	-	1	-	1 0 1 0 1 0 1 0 0 1 
818	-	2	-	1 0 1 0 1 0 1 0 1 1 
819	-	1	-	1 0 1 0 1 0 1 0 1 0 
820	-	3	-	1 0 1 0 1 0 1 1 1 0 
821	-	1	-	1 0 1 0 1 0 1 1 1 1 
822	-	2	-	1 0 1 0 1 0 1 1 0 1 
823	-	1	-	1 0 1 0 1 0 1 1 0 0 
824	-	4	-	1 0 1 0 1 0 0 1 0 0 
825	-	1	-	1 0 1 0 1 0 0 1 0 1 
826	-	2	-	1 0 1 0 1 0 0 1 1 1 
827	-	1	-	1 0 1 0 1 0 0 1 1 0 
828	-	3	-	1 0 1 0 1 0 0 0 1 0 
829	-	1	-	1 0 1 0 1 0 0 0 1 1 
830	-	2	-	1 0 1 0 1 0 0 0 0 1 
831	-	1	-	1 0 1 0 1 0 0 0 0 0 
832	-	7	-	1 0 1 1 1 0 0 0 0 0 
833	-	1	-	1 0 1 1 1 0 0 0 0 1 
834	-	2	-	1 0 1 1 1 0 0 0 1 1 
835	-	1	-	1 0 1 1 1 0 0 0 1 0 
836	-	3	-	1 0 1 1 1 0 0 1 1 0 
837	-	1	-	1 0 1 1 1 0 0 1 1 1 
838	-	2	-	1 0 1 1 1 0 0 1 0 1 
839	-	1	-	1 0 1 1 1 0 0 1 0 0 
840	-	4	-	1 0 1 1 1 0 1 1 0 0 
841	-	1	-	1 0 1 1 1 0 1 1 0 1 
842	-	2	-	1 0 1 1 1 0 1 1 1 1 
843	-	1	-	1 0 1 1 1 0 1 1 1 0 
844	-	3	-	1 0 1 1 1 0 1 0 1 0 
845	-	1	-	1 0 1 1 1 0 1 0 1 1 
846	-	2	-	1 0 1 1 1 0 1 0 0 1 
847	-	1	-	1 0 1 1 1 0 1 0 0 0 
848	-	5	-	1 0 1 1 1 1 1 0 0 0 
849	-	1	-	1 0 1 1 1 1 1 0 0 1 
850	-	2	-	1 0 1 1 1 1 1 0 1 1 
851	-	1	-	1 0 1 1 1 1 1 0 1 0 
852	-	3	-	1 0 1 1 1 1 1 1 1 0 
853	-	1	-	1 0 1 1 1 1 1 1 1 1 
854	-	2	-	1 0 1 1 1 1 1 1 0 1 
855	-	1	-	1 0 1 1 1 1 1 1 0 0 
856	-	4	-	1 0 1 1 1 1 0 1 0 0 
857	-	1	-	1 0 1 1 1 1 0 1 0 1 
858	-	2	-	1 0 1 1 1 1 0 1 1 1 
859	-	1	-	1 0 1 1 1 1 0 1 1 0 
860	-	3	-	1 0 1 1 1 1 0 0 1 0 
861	-	1	-	1 0 1 1 1 1 0 0 1 1 
862	-	2	-	1 0 1 1 1 1 0 0 0 1 
863	-	1	-	1 0 1 1 1 1 0 0 0 0 
864	-	6	-	1 0 1 1 0 1 0 0 0 0 
865	-	1	-	1 0 1 1 0 1 0 0 0 1 
866	-	2	-	1 0 1 1 0 1 0 0 1 1 
867	-	1	-	1 0 1 1 0 1 0 0 1 0 
868	-	3	-	1 0 1 1 0 1 0 1 1 0 
869	-	1	-	1 0 1 1 0 1 0 1 1 1 
870	-	2	-	1 0 1 1 0 1 0 1 0 1 
871	-	1	-	1 0 1 1 0 1 0 1 0 0 
872	-	4	-	1 0 1 1 0 1 1 1 0 0 
873	-	1	-	1 0 1 1 0 1 1 1 0 1 
874	-	2	-	1 0 1 1 0 1 1 1 1 1 
875	-	1	-	1 0 1 1 0 1 1 1 1 0 
876	-	3	-	1 0 1 1 0 1 1 0 1 0 
877	-	1	-	1 0 1 1 0 1 1 0 1 1 
878	-	2	-	1 0 1 1 0 1 1 0 0 1 
879	-	1	-	1 0 1 1 0 1 1 0 0 0 
880	-	5	-	1 0 1 1 0 0 1 0 0 0 
881	-	1	-	1 0 1 1 0 0 1 0 0 1 
882	-	2	-	1 0 1 1 0 0 1 0 1 1 
883	-	1	-	1 0 1 1 0 0 1 0 1 0 
884	-	3	-	1 0 1 1 0 0 1 1 1 0 
885	-	1	-	1 0 1 1 0 0 1 1 1 1 
886	-	2	-	1 0 1 1 0 0 1 1 0 1 
887	-	1	-	1 0 1 1 0 0 1 1 0 0 
888	-	4	-	1 0 1 1 0 0 0 1 0 0 
889	-	1	-	1 0 1 1 0 0 0 1 0 1 
890	-	2	-	1 0 1 1 0 0 0 1 1 1 
891	-	1	-	1 0 1 1 0 0 0 1 1 0 
892	-	3	-	1 0 1 1 0 0 0 0 1 0 
893	-	1	-	1 0 1 1 0 0 0 0 1 1 
894	-	2	-	1 0 1 1 0 0 0 0 0 1 
895	-	1	-	1 0 1 1 0 0 0 0 0 0 
896	-	8	-	1 0 0 1 0 0 0 0 0 0 
897	-	1	-	1 0 0 1 0 0 0 0 0 1 
898	-	2	-	1 0 0 1 0 0 0 0 1 1 
899	-	1	-	1 0 0 1 0 0 0 0 1 0 
900	-	3	-	1 0 0 1 0 0 0 1 1 0 
901	-	1	-	1 0 0 1 0 0 0 1 1 1 
902	-	2	-	1 0 0 1 0 0 0 1 0 1 
903	-	1	-	1 0 0 1 0 0 0 1 0 0 
904	-	4	-	1 0 0 1 0 0 1 1 0 0 
905	-	1	-	1 0 0 1 0 0 1 1 0 1 
906	-	2	-	1 0 0 1 0 0 1 1 1 1 
907	-	1	-	1 0 0 1 0 0 1 1 1 0 
908	-	3	-	1 0 0 1 0 0 1 0 1 0 
909	-	1	-	1 0 0 1 0 0 1 0 1 1 
910	-	2	-	1 0 0 1 0 0 1 0 0 1 
911	-	1	-	1 0 0 1 0 0 1 0 0 0 
912	-	5	-	1 0 0 1 0 1 1 0 0 0 
913	-	1	-	1 0 0 1 0 1 1 0 0 1 
914	-	2	-	1 0 0 1 0 1 1 0 1 1 
915	-	1	-	1 0 0 1 0 1 1 0 1 0 
916	-	3	-	1 0 0 1 0 1 1 1 1 0 
917	-	1	-	1 0 0 1 0 1 1 1 1 1 
918	-	2	-	1 0 0 1 0 1 1 1 0 1 
919	-	1	-	1 0 0 1 0 1 1 1 0 0 
920	-	4	-	1 0 0 1 0 1 0 1 0 0 
921	-	1	-	1 0 0 1 0 1 0 1 0 1 
922	-	2	-	1 0 0 1 0 1 0 1 1 1 
923	-	1	-	1 0 0 1 0 1 0 1 1 0 
924	-	3	-	1 0 0 1 0 1 0 0 1 0 
925	-	1	-	1 0 0 1 0 1 0 0 1 1 
926	-	2	-	1 0 0 1 0 1 0 0 0 1 
927	-	1	-	1 0 0 1 0 1 0 0 0 0 
928	-	6	-	1 0 0 1 1 1 0 0 0 0 
929	-	1	-	1 0 0 1 1 1 0 0 0 1 
930	-	2	-	1 0 0 1 1 1 0 0 1 1 
931	-	1	-	1 0 0 1 1 1 0 0 1 0 
932	-	3	-	1 0 0 1 1 1 0 1 1 0 
933	-	1	-	1 0 0 1 1 1 0 1 1 1 
934	-	2	-	1 0 0 1 1 1 0 1 0 1 
935	-	1	-	1 0 0 1 1 1 0 1 0 0 
936	-	4	-	1 0 0 1 1 1 1 1 0 0 
937	-	1	-	1 0 0 1 1 1 1 1 0 1 
938	-	2	-	1 0 0 1 1 1 1 1 1 1 
939	-	1	-	1 0 0 1 1 1 1 1 1 0 
940	-	3	-	1 0 0 1 1 1 1 0 1 0 
941	-	1	-	1 0 0 1 1 1 1 0 1 1 
942	-	2	-	1 0 0 1 1 1 1 0 0 1 
943	-	1	-	1 0 0 1 1 1 1 0 0 0 
944	-	5	-	1 0 0 1 1 0 1 0 0 0 
945	-	1	-	1 0 0 1 1 0 1 0 0 1 
946	-	2	-	1 0 0 1 1 0 1 0 1 1 
947	-	1	-	1 0 0 1 1 0 1 0 1 0 
948	-	3	-	1 0 0 1 1 0 1 1 1 0 
949	-	1	-	1 0 0 1 1 0 1 1 1 1 
950	-	2	-	1 0 0 1 1 0 1 1 0 1 
951	-	1	-	1 0 0 1 1 0 1 1 0 0 
952	-	4	-	1 0 0 1 1 0 0 1 0 0 
953	-	1	-	1 0 0 1 1 0 0 1 0 1 
954	-	2	-	1 0 0 1 1 0 0 1 1 1 
955	-	1	-	1 0 0 1 1 0 0 1 1 0 
956	-	3	-	1 0 0 1 1 0 0 0 1 0 
957	-	1	-	1 0 0 1 1 0 0 0 1 1 
958	-	2	-	1 0 0 1 1 0 0 0 0 1 
959	-	1	-	1 0 0 1 1 0 0 0 0 0 
